                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.4568,                 1.1772,                 1.5863,                0.73017,                0.43431,                0.48612,                0.22475,                 1.3945,                  1.148,                 1.6856,             0.00090248,             0.00090248,             0.00090248
                     46,                 1.5533,                 1.3229,                 2.0048,                0.74396,                0.40349,                0.47533,                0.20936,                 1.4241,                 1.1627,                 1.7136,             0.00091417,             0.00091417,             0.00091417
                     47,                 1.4484,                 1.1762,                 1.6291,                0.74508,                0.40157,                0.45854,                0.20266,                 1.4393,                 1.1366,                 1.7263,             0.00092549,             0.00092549,             0.00092549
                     48,                 1.3765,                 1.2978,                 1.7671,                0.74323,                0.39287,                0.42659,                0.20464,                 1.3757,                 1.0808,                 1.6927,             0.00093644,             0.00093644,             0.00093644
                     49,                 1.5293,                 1.2634,                 1.8326,                0.40978,                0.42438,                0.44361,                0.19627,                  1.365,                 1.0766,                  1.682,               0.000947,               0.000947,               0.000947
                     50,                 1.3971,                 1.0706,                 1.7393,                0.36136,                0.44304,                0.41185,                0.17928,                 1.4182,                 1.1314,                 1.7371,             0.00095719,             0.00095719,             0.00095719
                     51,                 1.3984,                  1.038,                 1.5704,                0.35819,                0.42548,                0.40252,                0.16685,                 1.6141,                 1.2691,                 1.9295,             0.00095743,             0.00095743,             0.00095743
                     52,                 1.3883,                 1.1362,                 1.7271,                0.31564,                0.58334,                0.42593,                0.16951,                 1.8056,                 1.4916,                 2.1795,               0.000948,               0.000948,               0.000948
                     53,                 1.5385,                 1.2529,                 1.9294,                0.48884,                0.50469,                0.42009,                0.16389,                 1.7277,                 1.5828,                 2.1458,             0.00093857,             0.00093857,             0.00093857
                     54,                 1.4542,                 1.0935,                 1.6408,                0.51673,                0.45544,                0.45013,                0.16066,                 1.5469,                 1.4068,                 1.9253,             0.00092914,             0.00092914,             0.00092914
                     55,                 1.5706,                 1.2671,                 1.6284,                0.36958,                0.45007,                0.44612,                 0.1475,                 1.6722,                 1.4259,                 2.1063,              0.0009197,              0.0009197,              0.0009197
